City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Taltal,-25.4,-70.4833,67.3,71,24,4.36,CL
Eyl,7.9803,49.8164,72.37,71,67,14.97,SO
Waddān,29.1614,16.139,62.15,28,0,7.94,LY
Husavik,66.0449,-17.3389,15.8,92,90,2.3,IS
San Cristobal,7.7669,-72.225,82.4,61,40,6.91,VE
Half Moon Bay,37.4636,-122.4286,62.01,76,1,11.5,US
Hamilton,39.1834,-84.5333,23.0,86,90,9.22,US
Myitkyina,25.3833,97.4,56.32,60,45,2.55,MM
Mezen',65.8522,44.24,-10.79,90,66,5.77,RU
Onalaska,43.8844,-91.2351,10.4,48,1,9.22,US
Tshikapa,-6.4167,20.8,72.19,90,100,0.58,CD
Kyaikkami,16.08,97.5675,72.01,69,4,7.11,MM
Port Hedland,-20.3167,118.5667,82.4,83,40,3.44,AU
Zakamensk,50.3741,103.2863,5.65,90,100,3.15,RU
Tura,25.5198,90.2201,59.31,48,4,2.28,IN
Codrington,-38.2667,141.9667,78.53,41,90,13.6,AU
Tuatapere,-46.1333,167.6833,51.94,88,100,14.81,NZ
Bethel,41.3712,-73.414,28.99,46,1,3.44,US
Gizo Government Station,-8.103,156.8419,83.97,73,79,8.86,SB
Hong Kong,22.2855,114.1577,61.0,85,63,1.01,HK
Provideniya,64.3833,-173.3,-9.4,64,0,17.9,RU
Tommot,58.9564,126.2925,-3.12,88,98,0.65,RU
Trairi,-3.2778,-39.2689,79.32,84,25,8.03,BR
Kandiari,26.9156,68.5216,61.72,29,15,4.38,PK
Havre-St-Pierre,50.2334,-63.5986,6.8,56,1,16.11,CA
Airai,-8.9266,125.4092,65.66,95,85,1.12,TL
Aloleng,16.1307,119.7824,79.38,77,85,6.22,PH
Isangel,-19.55,169.2667,84.2,74,75,5.75,VU
Ledyard Center,41.4398,-72.0142,30.0,69,1,9.22,US
Kumul,42.8,93.45,28.98,82,81,8.01,CN
Narsaq,60.9167,-46.05,33.8,27,40,29.93,GL
Itarema,-2.9248,-39.9167,79.63,83,92,11.27,BR
Yaan,7.3833,8.5667,81.55,14,17,3.85,NG
Mahibadhoo,3.7833,72.9667,80.55,75,46,9.44,MV
Kabompo,-13.5927,24.2008,65.88,97,100,2.91,ZM
Marawi,7.9986,124.2928,73.99,91,62,7.0,PH
Sabha,27.0377,14.4283,61.84,28,0,9.04,LY
Esperance,-33.8667,121.9,60.8,72,90,9.22,AU
Coyhaique,-45.5752,-72.0662,89.6,27,0,9.22,CL
Bambous Virieux,-20.3428,57.7575,78.8,78,40,14.97,MU
Ogaminana,7.5946,6.2248,79.97,65,19,5.73,NG
New Norfolk,-42.7826,147.0587,66.0,45,15,3.0,AU
Bārmer,25.75,71.3833,60.04,30,13,4.99,IN
Bethanien,-26.502,17.1583,74.71,56,49,1.7,NA
Agüimes,27.9054,-15.4461,63.0,77,20,6.91,ES
Longyearbyen,78.2186,15.6401,8.6,72,90,24.16,SJ
Olafsvik,64.8945,-23.7142,37.72,78,100,17.9,IS
Ancud,-41.8697,-73.8203,80.6,47,0,6.91,CL
Challans,46.8436,-1.8749,28.4,64,0,13.8,FR
Xudat,41.631,48.681,46.76,89,100,11.99,AZ
Āreka,7.0667,37.7,60.01,59,99,6.53,ET
Limbang,4.75,115.0,78.8,94,75,3.44,MY
Ilulissat,69.2167,-51.1,14.0,44,5,16.11,GL
Sørland,67.667,12.6934,19.4,86,40,6.91,NO
Huarmey,-10.0681,-78.1522,75.24,68,31,6.08,PE
Simao,22.7886,100.9748,44.73,90,0,1.34,CN
Voh,-20.9667,164.7,79.93,72,56,5.21,NC
Erechim,-27.6342,-52.2739,65.46,78,99,3.71,BR
Tiksi,71.6872,128.8694,-9.71,87,100,2.73,RU
Bichura,50.5881,107.6022,14.43,93,100,4.23,RU
Tuyen Quang,21.8233,105.2181,58.33,84,0,1.5,VN
Charter Township of Clinton,42.587,-82.9199,21.0,79,90,6.91,US
Vila Velha,-20.3297,-40.2925,82.99,83,40,5.75,BR
Vestmannaeyjar,63.4427,-20.2734,41.09,68,92,26.98,IS
Northam,51.0333,-4.2167,28.99,79,65,1.99,GB
Oranjemund,-28.55,16.4333,65.14,81,23,10.31,NA
Vadsø,70.0744,29.7487,21.2,73,40,31.07,NO
Kerrville,30.0474,-99.1403,46.99,87,90,9.22,US
Lavrentiya,65.5833,-171.0,-26.25,80,0,10.71,RU
Praia,14.9215,-23.5087,69.8,78,40,16.11,CV
Angoche,-16.2325,39.9086,76.84,91,100,10.4,MZ
Poum,-20.2333,164.0167,79.21,71,33,12.97,NC
Belaya Gora,68.5333,146.4167,-20.06,88,28,2.59,RU
Geraldton,-28.7667,114.6,57.2,88,0,5.75,AU
Irtyshskiy,58.3333,68.1333,-22.9,85,0,5.48,RU
Cockburn Town,21.4612,-71.1419,77.29,78,0,15.61,TC
Tartous,34.889,35.8866,55.4,88,40,6.91,SY
Luleå,65.5842,22.1547,5.0,92,67,4.61,SE
Vila Franca do Campo,37.7167,-25.4333,60.01,88,40,19.57,PT
Sakakah,29.9697,40.2064,53.6,71,0,5.75,SA
Plavsk,53.7094,37.2919,3.34,94,86,7.45,RU
Mahajanga,-15.7167,46.3167,75.2,100,40,6.91,MG
Dikson,73.5069,80.5464,-21.44,88,34,8.32,RU
Den Helder,52.9599,4.7593,26.6,86,75,6.91,NL
Osa,57.2829,55.4567,-11.7,85,3,3.38,RU
Karratha,-20.7377,116.8463,84.54,50,0,8.28,AU
Cururupu,-1.8283,-44.8683,78.28,83,100,3.29,BR
Lixouri,38.2019,20.4314,59.47,84,51,16.55,GR
Kedrovyy,56.1667,91.8167,-4.0,71,40,4.47,RU
Monrovia,6.3005,-10.7969,77.0,94,20,8.32,LR
Zawadzkie,50.605,18.4847,17.01,88,100,10.47,PL
Banda Aceh,5.5577,95.3222,78.93,77,38,3.47,ID
Melo,-32.3667,-54.1833,69.31,87,77,9.13,UY
Broken Hill,-31.95,141.4333,82.4,34,0,20.71,AU
Tres Arroyos,-38.3739,-60.2798,71.17,52,8,16.11,AR
Cayenne,4.9333,-52.3333,75.2,100,75,3.44,GF
Davila,18.4726,120.5763,75.2,88,75,8.99,PH
Los Llanos de Aridane,28.6585,-17.9182,62.6,82,20,5.75,ES
Isiro,2.7739,27.616,70.48,46,100,3.04,CD
Kerema,-7.9631,145.7785,84.06,60,98,0.89,PG
Raja,8.4596,25.678,65.46,27,91,2.91,SS
Ustka,54.5805,16.8619,23.49,92,96,12.46,PL
Khovd,48.0056,91.6419,10.98,55,47,7.54,MN
Ust'-Kulom,61.6864,53.6902,-19.75,88,43,1.45,RU
Santa Maria,-29.6842,-53.8069,69.8,83,40,6.91,BR
Leningradskiy,69.3833,178.4167,-28.68,83,11,8.01,RU
Villavieja,39.85,-0.1833,52.0,57,0,3.44,ES
Saint Paul Harbor,57.79,-152.4072,39.2,81,90,24.16,US
South Kazakhstan Region,43.0,68.0,43.12,85,73,7.45,KZ
Shingū,33.7333,135.9833,41.74,72,23,5.17,JP
Santa Cruz de la Sierra,-17.8,-63.1667,69.8,83,90,8.05,BO
Te Anau,-45.4167,167.7167,50.59,84,100,6.24,NZ
Pangnirtung,66.1451,-65.7125,5.0,72,1,3.27,CA
Rypefjord,70.6333,23.6667,26.6,80,90,11.5,NO
Tazmalt,36.3868,4.3989,50.43,81,24,4.21,DZ
Hermosillo,29.0667,-110.9667,78.01,31,31,4.0,MX
Marmora,44.4583,7.094,33.8,80,5,5.75,IT
Esim,4.8699,-2.2405,80.44,85,15,9.28,GH
Tigil',57.8,158.6667,19.31,92,52,6.85,RU
Mingora,34.7758,72.3625,50.74,41,0,6.49,PK
Kochi,9.9399,76.2602,69.8,88,96,4.61,IN
Rio Novo,-21.4575,-43.1253,68.0,83,75,2.3,BR
Pinawa,50.1489,-95.8811,-11.96,87,100,6.2,CA
Necochea,-38.5473,-58.7368,66.99,80,18,5.01,AR
São João da Barra,-21.6403,-41.0511,75.7,86,99,4.92,BR
Maposeni,-10.5833,35.4,69.8,94,75,3.24,TZ
Mossamedes,-15.1961,12.1522,73.56,72,100,2.86,AO
Luena,-11.7833,19.9167,62.96,97,100,4.97,AO
Norman Wells,65.282,-126.8329,-25.6,68,75,3.44,CA
Nhulunbuy,-12.2333,136.7667,80.6,83,40,8.05,AU
Valparai,10.3667,76.9667,69.8,88,82,4.43,IN
Yenagoa,4.9247,6.2642,79.3,89,73,5.61,NG
Anadyr,64.75,177.4833,-11.2,64,0,2.24,RU
Gongzhuling,43.5008,124.8198,19.76,92,0,10.49,CN
Ati,13.2154,18.3353,70.52,21,0,10.83,TD
Takoradze,4.8845,-1.7554,80.08,86,21,8.1,GH
Iquique,-20.2208,-70.1431,73.4,56,0,13.8,CL
Yarmolyntsi,49.1924,26.8373,30.99,91,92,5.99,UA
Padang,-0.9492,100.3543,73.4,88,40,3.44,ID
Kerch,45.3583,36.4758,48.0,90,56,10.69,UA
Kinshasa,-4.3246,15.3215,74.14,82,100,2.1,CD
Broome,42.2506,-75.833,21.2,49,90,3.44,US
Bibiani,6.4635,-2.3194,75.65,88,13,2.46,GH
Ayagoz,47.9714,80.4392,-1.21,92,100,4.23,KZ
Gravdal,68.1214,13.5031,19.4,86,40,6.91,NO
Sulangan,11.1373,123.7228,80.76,78,82,3.67,PH
Lompoc,34.6391,-120.4579,62.6,59,1,14.97,US
Tigre,-34.426,-58.5796,75.2,69,40,16.11,AR
Liaozhong,41.5061,122.7242,21.2,86,0,2.24,CN
Bath,51.3779,-2.3591,27.0,87,0,1.99,GB
Cap Malheureux,-19.9842,57.6142,75.0,82,24,5.99,MU
Livingston,55.9029,-3.5226,27.0,93,75,1.14,GB
Lorengau,-2.0226,147.2712,78.98,85,100,14.14,PG
Manyana,-23.4,21.7167,70.77,67,100,6.42,BW
Cabedelo,-6.9811,-34.8339,82.4,78,40,10.36,BR
Deputatsky,69.3,139.9,-22.47,89,40,3.56,RU
Yulara,-25.2406,130.9889,84.2,61,40,6.91,AU
Gobabis,-22.45,18.9667,68.56,63,100,12.71,NA
Kruisfontein,-34.0033,24.7314,69.01,92,55,1.01,ZA
Noshiro,40.2039,140.0242,35.6,60,75,10.36,JP
Kenai,60.5544,-151.2583,19.0,79,90,14.97,US
Wagar,16.1525,36.2032,68.83,78,0,11.63,SD
Price,39.5994,-110.8107,48.2,34,75,14.97,US
Vanino,49.0869,140.2543,14.22,82,98,12.01,RU
Yeppoon,-23.1333,150.7333,77.0,69,90,8.05,AU
Neiafu,-18.65,-173.9833,82.4,89,75,8.05,TO
Kahului,20.8947,-156.47,77.0,50,20,17.27,US
Qaqortoq,60.7167,-46.0333,33.8,27,40,29.93,GL
Jericó,5.7921,-75.786,77.0,50,40,13.8,CO
Yozgat Province,39.5833,35.3333,40.1,77,1,4.88,TR
Saldanha,-33.0117,17.9442,66.2,77,0,10.36,ZA
Jacmel,18.2342,-72.5347,82.4,69,20,9.22,HT
Marystown,47.1666,-55.1483,22.08,88,72,26.53,CA
Atherton,53.5237,-2.4935,30.99,70,0,3.0,GB
Emba,48.8264,58.1442,18.46,97,100,10.27,KZ
Pochutla,15.7432,-96.4661,86.0,63,12,10.0,MX
Umm Bāb,25.2142,50.8072,60.01,100,90,8.05,QA
Olinda,-8.0089,-34.8553,80.6,69,75,11.5,BR
Tanete,-3.9443,119.7848,78.39,79,100,1.5,ID
Praia,14.9215,-23.5087,69.8,78,40,16.11,CV
Clarence Town,-32.5833,151.7833,73.0,73,20,8.05,AU
Makat,47.6469,53.3463,33.57,94,98,3.33,KZ
Bathsheba,13.2167,-59.5167,78.8,61,40,19.57,BB
Changji,44.0167,87.3167,17.6,93,75,2.24,CN
Luau,-10.7073,22.2247,65.16,99,97,3.22,AO
Jiujiang,29.7333,115.9833,51.82,89,100,8.66,CN
Meulaboh,4.1363,96.1285,76.44,89,85,3.49,ID
Juneau,58.3019,-134.4197,19.4,32,1,11.5,US
Tevaitoa,-16.7833,-151.5,82.11,68,0,11.99,PF
Elizabeth City,36.2946,-76.2511,43.0,75,90,11.5,US
Mandalgovi,45.7625,106.2708,21.0,95,38,19.01,MN
Richards Bay,-28.783,32.0377,76.17,84,87,1.74,ZA
Barra do Bugres,-15.0725,-57.1811,79.0,71,57,2.17,BR
Poli,-3.3333,36.8,71.6,94,40,4.61,TZ
Gemeente Wageningen,51.9667,5.6667,19.0,92,90,1.14,NL
Agadez,19.75,10.25,64.78,23,84,2.64,NE
Coahuayana Viejo,18.7333,-103.6833,79.16,61,0,5.82,MX
Sioux Lookout,50.1001,-91.917,-11.2,64,75,5.75,CA
Sweetwater,25.7634,-80.3731,79.0,65,75,11.5,US
Cedral,23.8,-100.7333,76.33,20,53,7.67,MX
Bonthe,7.5264,-12.505,78.64,85,45,7.63,SL
Kupang,-10.1667,123.5833,78.8,100,75,3.44,ID
Petropavlovsk-Kamchatskiy,53.0452,158.6483,30.2,55,40,13.42,RU
Kaputan,40.3241,44.6969,33.8,86,0,3.44,AM
Moroni,-11.7022,43.2551,80.47,76,100,15.08,KM
Balabac,7.9868,117.0645,79.65,82,2,7.09,PH
Sola,-13.8833,167.55,86.0,79,75,11.97,VU
Karpogory,64.0019,44.4451,-7.08,90,93,4.21,RU
Kieta,-6.2167,155.6333,81.37,81,80,9.26,PG
Falam,22.9167,93.6833,47.17,56,0,3.29,MM
Vardø,70.3705,31.1107,19.4,73,40,31.07,NO
Lebu,-37.6167,-73.65,64.89,78,1,9.89,CL
Ilesha,7.1371,5.2583,77.25,83,14,4.16,NG
Loandjili,-4.7561,11.8578,79.56,87,100,3.36,CG
Adrar,20.5022,-10.0711,65.59,21,15,9.42,MR
Zapolyarnyy,69.4154,30.8136,21.2,68,75,16.11,RU
Avera,33.194,-82.5271,68.0,88,90,5.75,US
Bozeman,45.6796,-111.0386,3.99,71,1,3.44,US
Nastola,60.95,25.9333,5.0,85,100,4.61,FI
Yatou,37.15,122.3833,36.84,80,0,4.85,CN
Ust'-Uda,54.1742,103.0304,5.32,93,99,3.51,RU
Taoudenni,22.6783,-3.9836,67.77,21,0,10.51,ML
Bilibino,68.0546,166.4372,-7.6,86,87,2.57,RU
Piotrków Trybunalski,51.4055,19.7032,17.01,10,100,7.49,PL
San Rafael,-34.6177,-68.3301,77.18,41,14,6.44,AR
Dunmore East,52.1514,-6.9861,36.0,60,99,5.01,IE
Tsaitien,30.5833,114.0333,50.0,93,96,2.24,CN
Jorochito,-18.05,-63.4333,69.8,83,90,8.05,BO
Laguna,38.421,-121.4238,69.01,48,1,2.82,US
Alofi,-19.0595,-169.9187,86.0,79,75,9.22,NU
Soyo,-6.1349,12.3689,80.55,85,100,3.91,AO
Makushino,55.2103,67.2442,-18.09,87,92,5.86,RU
Banjar,-8.19,114.9675,78.8,83,20,2.3,ID
Grootfontein,-19.5667,18.1167,63.1,96,100,8.81,NA
Dwārka,22.2394,68.9678,68.18,66,85,5.64,IN
Pangkalanbuun,-2.6833,111.6167,74.12,95,94,3.11,ID
Tromsø,69.6496,18.957,26.6,93,90,10.36,NO
Vila,42.0304,-8.1588,46.99,94,100,3.0,PT
Derzhavīnsk,51.1,66.3167,-3.41,92,100,7.58,KZ
Batemans Bay,-35.7167,150.1833,71.01,75,6,8.01,AU
Arlit,18.7369,7.3853,69.3,18,18,4.9,NE
Grand Gaube,-20.0064,57.6608,75.0,82,23,5.99,MU
Hastings,50.8552,0.5729,30.0,81,72,6.91,GB
Salym,60.0625,71.4789,-25.94,84,3,5.44,RU
Tigwav,18.4314,-72.8669,82.4,69,20,9.22,HT
Bambanglipuro,-7.95,110.2833,77.25,85,78,3.94,ID
Itoman,26.1247,127.6694,62.6,88,75,21.85,JP
Ubari,26.5921,12.7805,62.6,28,0,7.81,LY
Houma,29.5958,-90.7195,79.0,73,40,6.91,US
Veselynove,47.3567,31.2349,33.17,92,100,4.99,UA
Caravelas,-17.7125,-39.2481,76.15,80,21,4.99,BR
Biscarrosse,44.3945,-1.1672,51.8,93,40,6.91,FR
Shiyan,32.6475,110.7781,44.6,73,4,1.23,CN
Balyqshy,47.0667,51.8667,32.0,100,75,4.47,KZ
Mazsalaca,57.8633,25.0547,10.99,90,100,5.99,LV
Samarai,-10.6167,150.6667,83.73,70,100,7.16,PG
Grindavik,63.8424,-22.4338,35.6,87,40,13.8,IS
La Ronge,55.1001,-105.2842,-18.4,57,100,2.3,CA
Ayan,56.45,138.1667,12.54,86,100,13.0,RU
Zeya,53.75,127.2667,0.88,92,100,4.12,RU
Nador,35.174,-2.9287,60.8,82,0,6.91,MA
Salalah,17.0151,54.0924,75.2,35,0,8.05,OM
Tegul'det,57.3064,88.1667,-10.86,88,100,8.01,RU
Touros,-5.1989,-35.4608,82.4,74,75,11.5,BR
San Luis,-33.295,-66.3356,72.19,53,34,10.0,AR
Kailua,21.4022,-157.7394,77.0,53,75,11.5,US
Arco,45.9177,10.8867,41.0,79,0,19.57,IT
Montevideo,-34.8335,-56.1674,72.0,78,75,14.97,UY
Katsuura,35.1333,140.3,46.4,57,20,11.5,JP
Balyaga,51.1507,108.921,14.23,94,100,3.91,RU
Foundiougne,14.1333,-16.4667,77.0,33,79,13.24,SN
Antofagasta,-23.65,-70.4,69.8,73,40,11.5,CL
Khanbari,27.3747,87.2039,52.0,51,3,1.66,NP
Zhangye,38.9342,100.4517,30.6,76,35,8.3,CN
